NUM_CAMPS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
14,136,85,221,272.736994,0.862607
14,142,80,222,284.524262,0.826698
14,140,91,231,283.439655,0.867681
14,145,82,227,293.279879,0.822404
14,141,93,234,284.666667,0.863778
14,137,84,221,276.600879,0.851288
14,141,87,228,283.423581,0.855972
15,145,87,232,298.705441,0.825501
15,142,89,231,293.426654,0.830237
15,148,80,228,300.460874,0.801457
15,142,83,225,290.783898,0.821858
15,141,80,221,294.630889,0.800729
15,142,80,222,296.973684,0.806193
15,147,76,223,304.090909,0.784335
15,145,83,228,299.885002,0.809836
15,141,80,221,290.678007,0.810200
15,144,80,224,299.649123,0.794900
15,141,79,220,294.441736,0.796357
15,144,81,225,292.436080,0.814572
15,138,84,222,290.462345,0.810200
15,142,82,224,293.919694,0.809472
15,145,71,216,296.311844,0.779235
15,141,81,222,289.221642,0.816393
15,146,72,218,295.365252,0.791985
15,141,77,218,289.927326,0.804372
15,143,78,221,292.923708,0.809836
15,142,77,219,295.698475,0.795264
16,154,126,280,319.750390,0.912568
16,147,125,272,309.889494,0.911202
16,151,118,269,318.492519,0.887637
16,151,121,272,316.414779,0.896516
16,151,120,271,316.256676,0.894126
16,152,125,277,316.201170,0.912568
16,151,119,270,311.857988,0.905738
16,150,132,282,318.064715,0.917008
16,152,122,274,319.375796,0.893101
16,150,121,271,311.783104,0.903005
16,149,123,272,314.416107,0.899590
16,151,124,275,316.012559,0.905055
16,151,131,282,321.532710,0.910861
16,155,123,278,327.427192,0.890710
16,147,122,269,310.213470,0.903005
16,151,128,279,318.857143,0.906421
16,152,127,279,315.531866,0.919057
16,157,127,284,323.687038,0.914959
16,154,128,282,321.783320,0.911544
16,153,128,281,324.307450,0.900956
17,155,123,278,330.350649,0.880103
17,150,123,273,323.297678,0.879139
17,153,118,271,321.296113,0.880103
17,157,119,276,330.244615,0.876246
17,157,121,278,327.473684,0.886532
17,161,122,283,332.105998,0.887175
17,154,110,264,329.576244,0.841851
17,154,118,272,326.462963,0.876567
17,152,120,272,324.958525,0.880103
17,150,119,269,316.392817,0.888139
17,156,117,273,327.536830,0.866924
17,157,113,270,325.569767,0.877210
17,153,113,266,326.440237,0.858888
17,152,124,276,323.769231,0.884603
17,156,120,276,329.737327,0.871745
17,154,116,270,327.218543,0.860174
17,153,120,273,328.169629,0.873353
17,158,122,280,330.329920,0.882032
17,155,127,282,327.718341,0.902925
17,154,119,273,325.154288,0.880103
18,161,116,277,339.954545,0.855798
18,164,113,277,347.198630,0.841834
18,168,128,296,347.107156,0.891014
18,164,123,287,338.238998,0.889496
18,160,116,276,338.727273,0.851548
18,164,122,286,345.465347,0.871888
18,169,110,279,346.018825,0.854281
18,165,123,288,342.110350,0.887371
18,162,109,271,343.072252,0.835155
18,166,123,289,346.673707,0.877353
18,165,114,279,344.720930,0.851548
18,162,111,273,341.017065,0.842441
18,164,119,283,342.847370,0.866727
18,159,116,275,339.269663,0.854281
18,164,117,281,343.074129,0.861870
18,161,110,271,341.889697,0.841530
18,166,109,275,345.876289,0.840316
18,163,122,285,341.130087,0.873406
18,164,115,279,343.689604,0.855798
18,165,124,289,340.109325,0.891318
19,174,129,303,359.444217,0.888122
19,176,132,308,359.609134,0.896462
19,177,131,308,363.391924,0.890135
19,177,122,299,364.141156,0.864826
19,176,125,301,366.320266,0.864251
19,177,138,315,367.411942,0.893874
19,175,131,306,361.768786,0.885246
19,178,131,309,369.461142,0.881507
19,180,139,319,369.967645,0.904228
19,178,119,297,364.771812,0.860512
19,174,136,310,363.041428,0.890423
19,174,122,296,362.902680,0.858499
19,180,132,312,365.753203,0.893011
19,175,120,295,362.699788,0.859362
19,176,116,292,364.947520,0.845844
19,175,123,298,359.523248,0.867990
19,181,129,310,365.875764,0.890135
19,174,129,303,363.662755,0.876330
19,177,115,292,362.730975,0.848433
19,177,134,311,360.809810,0.902215
20,186,122,308,378.028169,0.862295
20,188,113,301,380.144928,0.839344
20,187,127,314,377.915159,0.878415
20,191,142,333,385.080569,0.908197
20,188,140,328,384.399616,0.891530
20,189,148,337,381.745590,0.922951
20,187,131,318,380.104507,0.881421
20,191,127,318,383.233454,0.877869
20,187,127,314,381.807309,0.867760
20,180,149,329,370.276753,0.924863
20,195,128,323,392.229595,0.871585
20,184,127,311,375.911493,0.875683
20,185,125,310,376.693227,0.869672
20,188,133,321,381.324245,0.886612
20,186,138,324,381.299035,0.892896
20,187,134,321,379.231762,0.887705
20,194,134,328,384.892594,0.898361
20,188,129,317,382.784560,0.866940
20,187,125,312,378.495194,0.869126
20,193,127,320,387.557909,0.872131
